header-arecord,address*,_new_address,fqdn*,_new_fqdn,comment,create_ptr,creator,ddns_principal,ddns_protected,disabled,ttl,view,ADMGRP-192.168.17.0-RO-group,ADMGRP-TC-test,ADMGRP-suzuki-test-group_0528,EA-Country,EAInherited-Country,EA-Site,EAInherited-Site,EA-email,EAInherited-email
arecord,172.68.100.1,,w1.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.2,,w2.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.3,,w3.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.4,,w4.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.5,,w5.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.6,,w6.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.7,,w7.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.8,,w8.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.9,,w9.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.10,,w10.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.11,,w11.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.12,,w12.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.13,,w13.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.14,,w14.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.15,,w15.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.16,,w16.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.17,,w17.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.18,,w18.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.19,,w19.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.20,,w20.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
arecord,172.68.100.21,,w21.sifiizm.com,,,FALSE,STATIC,,FALSE,FALSE,3601,default,,,,,,,,,
